market,ma,ngay,khoi_luong_mua,gia_tri_mua,khoi_luong_ban,gia_tri_ban,khoi_luong_giao_dich_rong,gia_tri_giao_dich_rong,room_con_lai,dang_so_huu
HOSE,BCM,2022-11-21,12500,956250000,1100,84150000,11400,872100000,476263675,
HOSE,PGC,2022-11-21,10600,179140000,0,0,10600,179140000,26461965,
HOSE,TVB,2022-11-21,12400,47120000,1900,7220000,10500,39900000,30809688,
HOSE,PPC,2022-11-21,11900,147560000,3000,37200000,8900,110360000,117140254,
HOSE,VNE,2022-11-21,8100,74115000,0,0,8100,74115000,38943741,
HOSE,ADS,2022-11-21,8900,83571000,1000,9390000,7900,74181000,21409998,
HOSE,AST,2022-11-21,7600,379240000,200,9980000,7400,369260000,2035582,
HOSE,KOS,2022-11-21,6700,241200000,0,0,6700,241200000,105986843,
HOSE,AMD,2022-11-21,6500,7280000,0,0,6500,7280000,78165891,
HOSE,HAH,2022-11-21,10600,296800000,4500,126000000,6100,170800000,24414693,
HOSE,TCL,2022-11-21,8300,229495000,2400,66360000,5900,163135000,13347281,
HOSE,MSB,2022-11-21,7100,84135000,1300,15405000,5800,68730000,8558,
HOSE,FIR,2022-11-21,5700,273600000,300,14400000,5400,259200000,21848023,
HOSE,CMG,2022-11-21,6500,232050000,1100,39270000,5400,192780000,11835094,
HOSE,TRA,2022-11-21,5000,472500000,0,0,5000,472500000,1273141,
HOSE,NSC,2022-11-21,5100,354450000,100,6950000,5000,347500000,7114690,
HOSE,TCR,2022-11-21,4000,11360000,0,0,4000,11360000,296216,
HOSE,FPT,2022-11-21,3900,273390000,100,7010000,3800,266380000,296216,
HOSE,FUESSV50,2022-11-21,8100,89181000,4600,50646000,3500,38535000,7050642,
HOSE,SKG,2022-11-21,3600,48420000,300,4035000,3300,44385000,7781915,
HOSE,GDT,2022-11-21,4100,128945000,1100,34595000,3000,94350000,5139075,
HOSE,NAF,2022-11-21,3000,25020000,0,0,3000,25020000,46734000,
HOSE,ITD,2022-11-21,2700,32940000,0,0,2700,32940000,10123909,
HOSE,TVT,2022-11-21,2800,67200000,100,2400000,2700,64800000,9451710,
HOSE,YEG,2022-11-21,9600,82176000,6900,59064000,2700,23112000,26300724,
HOSE,BVH,2022-11-21,25100,1197270000,22740,1084698000,2360,112572000,167200605,
HOSE,HTN,2022-11-21,2800,47040000,500,8400000,2300,38640000,42954027,
HOSE,SHI,2022-11-21,2500,37000000,300,4440000,2200,32560000,79286185,
HOSE,LBM,2022-11-21,2100,85680000,0,0,2100,85680000,7333902,
HOSE,D2D,2022-11-21,2300,46460000,200,4040000,2100,42420000,14020866,
HOSE,TCM,2022-11-21,4100,184090000,2000,89800000,2100,94290000,2011445,
HOSE,ANV,2022-11-21,2000,38600000,0,0,2000,38600000,57489644,
HOSE,NVT,2022-11-21,2000,13180000,0,0,2000,13180000,45148480,
HOSE,VIB,2022-11-21,2000,37000000,0,0,2000,37000000,45148480,
HOSE,CDC,2022-11-21,1900,33820000,0,0,1900,33820000,10675413,
HOSE,VNL,2022-11-21,1700,33490000,0,0,1700,33490000,3735120,
HOSE,DLG,2022-11-21,1600,3008000,0,0,1600,3008000,141344633,
HOSE,RAL,2022-11-21,1500,108750000,0,0,1500,108750000,10870290,
HOSE,CLC,2022-11-21,1400,46130000,0,0,1400,46130000,12281554,
HOSE,SGN,2022-11-21,1300,68510000,100,5270000,1200,63240000,9247584,
HOSE,BMC,2022-11-21,1100,11935000,0,0,1100,11935000,5286087,
HOSE,PAC,2022-11-21,1100,33990000,0,0,1100,33990000,16825569,
HOSE,TDH,2022-11-21,1000,2950000,0,0,1000,2950000,53704099,
HOSE,TCO,2022-11-21,1000,8920000,0,0,1000,8920000,8714944,
HOSE,DMC,2022-11-21,900,38610000,0,0,900,38610000,15589890,
HOSE,VRC,2022-11-21,900,6057000,0,0,900,6057000,24271414,
HOSE,EVE,2022-11-21,6700,89780000,5900,79060000,800,10720000,11807644,
HOSE,C32,2022-11-21,800,14000000,0,0,800,14000000,6695353,
HOSE,BCE,2022-11-21,800,4352000,0,0,800,4352000,16668088,
HOSE,TMP,2022-11-21,700,35350000,0,0,700,35350000,33912380,
HOSE,TCT,2022-11-21,600,18300000,0,0,600,18300000,3663440,
HOSE,IBC,2022-11-21,1000,15800000,400,6320000,600,9480000,25723618,
HOSE,ICT,2022-11-21,500,7225000,0,0,500,7225000,32028428,
HOSE,QCG,2022-11-21,1000,4330000,500,2165000,500,2165000,133127958,
HOSE,CTI,2022-11-21,500,5600000,0,0,500,5600000,30473163,
HOSE,BHN,2022-11-21,300,13200000,0,0,300,13200000,72801450,
HOSE,THG,2022-11-21,700,24220000,400,13840000,300,10380000,9648960,
HOSE,REE,2022-11-21,200,13900000,0,0,200,13900000,9648960,
HOSE,COM,2022-11-21,200,6320000,0,0,200,6320000,6870247,
HOSE,VCA,2022-11-21,100,996000,0,0,100,996000,6152725,
HOSE,VNS,2022-11-21,100,1600000,0,0,100,1600000,19949662,
HOSE,NHT,2022-11-21,100,1455000,0,0,100,1455000,8333363,
HOSE,TMT,2022-11-21,100,840000,0,0,100,840000,17187187,
HOSE,HTL,2022-11-21,100,1535000,0,0,100,1535000,353481,
HOSE,ADG,2022-11-21,100,2950000,0,0,100,2950000,3840301,
HOSE,ACB,2022-11-21,31,638600,0,0,31,638600,3840301,
HOSE,SJF,2022-11-21,0,34102000,0,6936000,0,27166000,38291656,
HOSE,SHA,2022-11-21,0,12950000,0,0,0,12950000,16070038,
HOSE,SFG,2022-11-21,0,7890000,0,0,0,7890000,23130744,
HOSE,SFC,2022-11-21,0,0,0,1900000,0,-1900000,5440089,
HOSE,SGT,2022-11-21,0,0,0,280800,0,-280800,5440089,
HOSE,SMC,2022-11-21,0,0,0,182000,0,-182000,5440089,
HOSE,SII,2022-11-21,0,0,0,20800000,0,-20800000,691605,
HOSE,SFI,2022-11-21,0,3185000,0,0,0,3185000,9081207,
HOSE,BKG,2022-11-21,0,0,0,1038000,0,-1038000,34049011,
HOSE,SMA,2022-11-21,0,1256000,0,20724000,0,-19468000,9958486,
HOSE,SHP,2022-11-21,0,12800000,0,0,0,12800000,44322810,
HOSE,SGR,2022-11-21,0,0,0,3660000,0,-3660000,29396226,
HOSE,PGI,2022-11-21,0,0,0,662500,0,-662500,88087123,
HOSE,PGD,2022-11-21,0,7500000,0,0,0,7500000,2269632,
HOSE,C47,2022-11-21,0,0,0,423950,0,-423950,2269632,
HOSE,PGV,2022-11-21,0,17250000,0,0,0,17250000,561547123,
HOSE,PMG,2022-11-21,0,0,0,16125000,0,-16125000,11037825,
HOSE,PJT,2022-11-21,0,0,0,81000,0,-81000,11037825,
HOSE,PIT,2022-11-21,0,6720000,0,0,0,6720000,7326218,
HOSE,CCI,2022-11-21,0,0,0,87000000,0,-87000000,7326218,
HOSE,CCL,2022-11-21,0,14280000,0,0,0,14280000,26127265,
HOSE,NNC,2022-11-21,0,507200000,0,0,0,507200000,9092947,
HOSE,OPC,2022-11-21,0,0,0,4480000,0,-4480000,9092947,
HOSE,PET,2022-11-21,0,0,0,245850000,0,-245850000,9092947,
HOSE,CAV,2022-11-21,0,0,0,2387500,0,-2387500,28094952,
HOSE,PDN,2022-11-21,0,0,0,13000000,0,-13000000,28094952,
HOSE,BRC,2022-11-21,0,1060000,0,0,0,1060000,6126478,
HOSE,S4A,2022-11-21,0,0,0,192500000,0,-192500000,20649120,
HOSE,RDP,2022-11-21,0,0,0,7404000,0,-7404000,24378472,
HOSE,SAV,2022-11-21,0,0,0,190350000,0,-190350000,1033537,
HOSE,SCD,2022-11-21,0,3590000,0,0,0,3590000,3581190,
HOSE,SC5,2022-11-21,0,0,0,16500000,0,-16500000,6722424,
HOSE,SBV,2022-11-21,0,0,0,12150,0,-12150,23306196,
HOSE,PSH,2022-11-21,0,0,0,0,0,0,23306196,
HOSE,BTT,2022-11-21,0,48060000,0,0,0,48060000,5949557,
HOSE,POM,2022-11-21,0,13104000,0,0,0,13104000,114847776,
HOSE,PTL,2022-11-21,0,0,0,8710000,0,-8710000,114847776,
HOSE,NBB,2022-11-21,0,130560000,0,0,0,130560000,47865829,
HOSE,QBS,2022-11-21,0,0,0,0,0,0,47865829,
HOSE,BTP,2022-11-21,0,4020000,0,0,0,4020000,23950774,
HOSE,UIC,2022-11-21,0,0,0,350000,0,-350000,23950774,
HOSE,TYA,2022-11-21,0,5850000,0,0,0,5850000,3588267,
HOSE,AGM,2022-11-21,0,0,0,6450000,0,-6450000,3588267,
HOSE,VAF,2022-11-21,0,0,0,56700000,0,-56700000,18440186,
HOSE,VFG,2022-11-21,0,0,0,86900,0,-86900,19340633,
HOSE,VDP,2022-11-21,0,0,0,0,0,0,19340633,
HOSE,VCF,2022-11-21,0,43220000,0,0,0,43220000,12847941,
HOSE,TVS,2022-11-21,0,0,0,124020000,0,-124020000,21081622,
HOSE,TSC,2022-11-21,0,0,0,240900,0,-240900,21081622,
HOSE,TRC,2022-11-21,0,0,0,9180000,0,-9180000,14480450,
HOSE,APC,2022-11-21,0,0,0,89100000,0,-89100000,6797258,
HOSE,TTA,2022-11-21,0,0,0,4485000,0,-4485000,76718267,
HOSE,TTF,2022-11-21,0,202230000,0,1569834000,0,-1367604000,202086761,
HOSE,TTE,2022-11-21,0,1130000,0,0,0,1130000,14242930,
HOSE,TTB,2022-11-21,0,0,0,61800,0,-61800,14242930,
HOSE,VPH,2022-11-21,0,812000,0,0,0,812000,45927256,
HOSE,VPD,2022-11-21,0,0,0,6165000,0,-6165000,52174759,
HOSE,VOS,2022-11-21,200,1498000,200,1498000,0,0,66915890,
HOSE,AAM,2022-11-21,0,0,0,13980000,0,-13980000,5929073,
HOSE,YBM,2022-11-21,0,12811000,0,0,0,12811000,6976025,
HOSE,VTB,2022-11-21,0,0,0,11300000,0,-11300000,5316365,
HOSE,VPS,2022-11-21,0,32400000,0,0,0,32400000,11819623,
HOSE,ABR,2022-11-21,0,972000,0,0,0,972000,10248700,
HOSE,VIP,2022-11-21,0,0,0,1237872000,0,-1237872000,31950096,
HOSE,VID,2022-11-21,0,0,0,602000,0,-602000,20233544,
HOSE,ACC,2022-11-21,0,0,0,5800000,0,-5800000,42689787,
HOSE,VMD,2022-11-21,0,51900000,0,0,0,51900000,7345150,
HOSE,VNG,2022-11-21,0,68220000,0,1516000,0,66704000,47190164,
HOSE,ABS,2022-11-21,0,0,0,0,0,0,47190164,
HOSE,ABT,2022-11-21,0,3300000,0,26400000,0,-23100000,6806210,
HOSE,SVI,2022-11-21,0,14380000,0,0,0,14380000,653244,
HOSE,SVD,2022-11-21,0,8370000,0,0,0,8370000,12545700,
HOSE,SVC,2022-11-21,0,0,0,11220000,0,-11220000,15705374,
HOSE,SVT,2022-11-21,0,54000000,0,0,0,54000000,7319570,
HOSE,TCB,2022-11-21,0,227000000,0,0,0,227000000,7319570,
HOSE,TBC,2022-11-21,0,0,0,41250000,0,-41250000,30613186,
HOSE,SZL,2022-11-21,0,0,0,46300,0,-46300,30613186,
HOSE,BBC,2022-11-21,0,27720000,0,0,0,27720000,9223079,
HOSE,SRF,2022-11-21,0,0,0,5050000,0,-5050000,18932307,
HOSE,SRC,2022-11-21,0,0,0,10100000,0,-10100000,13725555,
HOSE,SPM,2022-11-21,0,0,0,2700000,0,-2700000,6588990,
HOSE,SSB,2022-11-21,0,0,0,3000000,0,-3000000,95403186,
HOSE,STG,2022-11-21,0,0,0,8170000,0,-8170000,48078780,
HOSE,ST8,2022-11-21,0,0,0,0,0,0,48078780,
HOSE,SSC,2022-11-21,0,3580000,0,0,0,3580000,7171777,
HOSE,TNA,2022-11-21,0,7440000,0,0,0,7440000,22545851,
HOSE,TN1,2022-11-21,0,0,0,1890000,0,-1890000,21533302,
HOSE,TMS,2022-11-21,0,0,0,41340000,0,-41340000,5585560,
HOSE,TNC,2022-11-21,0,0,0,15900000,0,-15900000,9324510,
HOSE,TPC,2022-11-21,0,10880000,0,544000,0,10336000,11356790,
HOSE,APG,2022-11-21,0,53725000,0,3070000,0,50655000,143821006,
HOSE,TNI,2022-11-21,0,5380000,0,0,0,5380000,25565990,
HOSE,ASG,2022-11-21,0,2520000,0,0,0,2520000,22052039,
HOSE,TDP,2022-11-21,0,0,0,141000000,0,-141000000,30684004,
HOSE,TDG,2022-11-21,0,0,0,1190000,0,-1190000,30684004,
HOSE,ASP,2022-11-21,0,0,0,2750000,0,-2750000,1082,
HOSE,TDW,2022-11-21,0,4325000,0,0,0,4325000,4016420,
HOSE,TIX,2022-11-21,0,0,0,61400000,0,-61400000,4016420,
HOSE,THI,2022-11-21,0,0,0,2300000,0,-2300000,23887340,
HOSE,TGG,2022-11-21,0,0,0,14518400,0,-14518400,23887340,
HOSE,CTF,2022-11-21,0,0,0,429300000,0,-429300000,37181353,
HOSE,HMC,2022-11-21,0,0,0,62578000,0,-62578000,37181353,
HOSE,HOT,2022-11-21,0,60300000,0,60300000,0,0,37181353,
HOSE,HRC,2022-11-21,0,0,0,5700000,0,-5700000,14608815,
HOSE,HPX,2022-11-21,0,22500000,0,0,0,22500000,112780462,
HOSE,HII,2022-11-21,0,2145000,0,0,0,2145000,36215385,
HOSE,CVT,2022-11-21,0,0,0,161000,0,-161000,18171580,
HOSE,GTA,2022-11-21,0,0,0,116000,0,-116000,5036715,
HOSE,HAS,2022-11-21,0,837000,0,0,0,837000,2584159,
HOSE,HHP,2022-11-21,0,900000,0,0,0,900000,13941007,
HOSE,HCD,2022-11-21,0,0,0,10185000,0,-10185000,15450682,
HOSE,HTI,2022-11-21,0,171200000,0,0,0,171200000,6900701,
HOSE,ILB,2022-11-21,0,551475000,0,0,0,551475000,11635900,
HOSE,HVX,2022-11-21,0,2169000,0,0,0,2169000,19244101,
