market,ma,ngay,gia_dong_cua,gia_tri_thay_doi,phan_tram_thay_doi,gia_tham_chieu,gia_mo_cua,gia_cao_nhat,gia_thap_nhat,khoi_luong_giao_dich_khop_lenh,gia_tri_giao_dich_khop_lenh,khoi_luong_giao_dich_thoa_thuan,gia_tri_giao_dich_thoa_thuan
HOSE,ACB,2022-11-21,20.6,-0.55,-0.026000000000000002,21.15,21.2,21.2,20.6,2279000,47528000000,331700,6882775000
HOSE,GAS,2022-11-21,111.3,-3.0,-0.0262,114.3,114.3,114.5,110.5,172200,19264000000,0,0
HOSE,DPM,2022-11-21,36.0,-1.0,-0.027000000000000003,37.0,37.1,37.55,35.5,1670700,60992000000,0,0
HOSE,LEC,2022-11-21,6.8,-0.19,-0.027200000000000002,6.99,6.99,6.99,6.55,3700,24000000,0,0
HOSE,DCM,2022-11-21,25.45,-0.75,-0.0286,26.2,26.2,26.65,24.6,4270200,108349000000,150000,4200000000
HOSE,VPI,2022-11-21,55.2,-1.7,-0.029900000000000003,56.9,56.6,56.6,55.1,361700,20057000000,324000,18262000000
HOSE,BHN,2022-11-21,44.0,-1.5,-0.033,45.5,45.8,45.95,43.65,2700,119000000,0,0
HOSE,SRF,2022-11-21,9.37,-0.34,-0.035,9.71,10.3,10.35,9.3,12100,124000000,0,0
HOSE,MWG,2022-11-21,40.65,-1.5,-0.0356,42.15,41.95,41.95,40.65,1762800,72543000000,100000,4510000000
HOSE,MIG,2022-11-21,13.95,-0.55,-0.0379,14.5,14.5,15.0,13.85,919900,13125000000,0,0
HOSE,FRT,2022-11-21,62.7,-2.5,-0.0383,65.2,65.6,65.6,62.7,1179800,75373000000,0,0
HOSE,BRC,2022-11-21,10.55,-0.45,-0.0409,11.0,10.55,10.55,10.55,100,1000000,0,0
HOSE,VSC,2022-11-21,31.5,-1.4,-0.0426,32.9,32.9,32.9,31.5,176400,5625000000,620000,19840000000
HOSE,PGI,2022-11-21,24.8,-1.15,-0.0443,25.95,25.95,25.95,24.8,9600,248000000,0,0
HOSE,VRE,2022-11-21,26.3,-1.3,-0.0471,27.6,27.5,27.5,26.1,1750000,46593000000,170000,4525400000
HOSE,PNC,2022-11-21,8.2,-0.41,-0.047599999999999996,8.61,8.01,9.21,8.01,31400,287000000,0,0
HOSE,PIT,2022-11-21,4.07,-0.24,-0.0557,4.31,4.31,4.31,4.02,12600,51000000,0,0
HOSE,BTT,2022-11-21,35.05,-2.15,-0.057800000000000004,37.2,35.05,35.05,35.05,100,3000000,0,0
HOSE,CCI,2022-11-21,21.65,-1.35,-0.0587,23.0,23.0,23.0,21.65,200,4000000,0,0
HOSE,HAS,2022-11-21,8.5,-0.59,-0.0649,9.09,8.5,8.5,8.5,5000,42000000,0,0
HOSE,UIC,2022-11-21,32.7,-2.3,-0.06570000000000001,35.0,35.0,35.0,32.7,600,20000000,0,0
HOSE,LIX,2022-11-21,39.2,-2.8,-0.0667,42.0,40.2,41.85,39.1,28200,1115000000,0,0
HOSE,STG,2022-11-21,38.1,-2.75,-0.0673,40.85,40.5,40.5,38.1,2400,96000000,0,0
HOSE,DTA,2022-11-21,5.39,-0.39,-0.0675,5.78,5.8,5.85,5.39,51100,275000000,0,0
HOSE,MDG,2022-11-21,13.8,-1.0,-0.0676,14.8,15.0,15.0,13.8,2100,29000000,0,0
HOSE,HPX,2022-11-21,13.0,-0.95,-0.0681,13.95,13.0,13.0,13.0,2600,33000000,563202,7847049200
HOSE,PDR,2022-11-21,17.1,-1.25,-0.0681,18.35,17.1,17.1,17.1,172600,2951000000,81200,1388520000
HOSE,VPG,2022-11-21,14.35,-1.05,-0.0682,15.4,15.2,15.35,14.35,909800,13362000000,0,0
HOSE,ST8,2022-11-21,8.05,-0.59,-0.0683,8.64,8.63,8.63,8.05,36500,296000000,0,0
HOSE,NVL,2022-11-21,27.25,-2.0,-0.0684,29.25,27.25,27.25,27.25,630900,17192000000,199500,5436375000
HOSE,HOT,2022-11-21,27.2,-2.0,-0.06849999999999999,29.2,27.2,27.2,27.2,200,5000000,0,0
HOSE,LBM,2022-11-21,40.8,-3.0,-0.06849999999999999,43.8,40.75,43.4,40.75,4300,175000000,0,0
HOSE,CLW,2022-11-21,32.6,-2.4,-0.06860000000000001,35.0,32.6,32.6,32.6,200,6000000,0,0
HOSE,ACC,2022-11-21,10.8,-0.8,-0.069,11.6,10.9,11.4,10.8,184700,1999000000,0,0
HOSE,TNA,2022-11-21,5.8,-0.43,-0.069,6.23,5.91,6.34,5.8,455300,2707000000,0,0
HOSE,SSC,2022-11-21,31.0,-2.3,-0.0691,33.3,31.0,31.0,31.0,100,3000000,0,0
HOSE,DGC,2022-11-21,51.1,-3.8,-0.0692,54.9,55.0,55.3,51.1,7210300,376598000000,50000,2675000000
HOSE,EIB,2022-11-21,18.05,-1.35,-0.0696,19.4,19.85,20.2,18.05,12599100,234447000000,2713000,49130650000
HOSE,DGW,2022-11-21,40.0,-3.0,-0.0698,43.0,43.0,43.95,40.0,1297600,53562000000,0,0
HOSE,TCO,2022-11-21,8.92,-0.67,-0.0699,9.59,9.5,9.5,8.92,220000,1984000000,0,0
HOSE,TCH,2022-11-22,7.96,0.52,0.0699,7.44,7.96,7.96,7.8,15182100,120665000000,0,0
HOSE,VRC,2022-11-22,7.2,0.47,0.0698,6.73,6.73,7.2,6.73,19000,136000000,0,0
HOSE,PJT,2022-11-22,8.58,0.56,0.0698,8.02,8.2,8.58,8.2,1000,8000000,0,0
HOSE,NVT,2022-11-22,7.05,0.46,0.0698,6.59,7.05,7.05,7.05,10700,75000000,0,0
HOSE,PSH,2022-11-22,5.08,0.33,0.0695,4.75,4.75,5.08,4.75,341100,1730000000,0,0
HOSE,TTF,2022-11-22,4.32,0.28,0.0693,4.04,4.32,4.32,4.32,1513200,6537000000,0,0
HOSE,EIB,2022-11-22,19.3,1.25,0.0693,18.05,17.3,19.3,17.0,13864700,250900000000,7822700,139697360000
HOSE,DLG,2022-11-22,2.01,0.13,0.0691,1.88,2.01,2.01,1.93,2831000,5670000000,0,0
HOSE,YEG,2022-11-22,9.15,0.59,0.0689,8.56,8.56,9.15,8.5,202000,1827000000,0,0
HOSE,DXS,2022-11-22,5.74,0.37,0.0689,5.37,5.74,5.74,5.35,2771200,15687000000,0,0
HOSE,VCI,2022-11-22,20.2,1.3,0.0688,18.9,18.55,20.2,18.55,12588100,251815000000,36100,729220000
HOSE,DTA,2022-11-22,5.76,0.37,0.06860000000000001,5.39,5.6,5.76,5.46,9100,51000000,0,0
HOSE,QBS,2022-11-22,1.87,0.12,0.06860000000000001,1.75,1.8,1.87,1.8,833700,1553000000,0,0
HOSE,MCG,2022-11-22,1.87,0.12,0.06860000000000001,1.75,1.87,1.87,1.87,31100,58000000,0,0
HOSE,PTC,2022-11-22,4.99,0.32,0.06849999999999999,4.67,4.51,4.99,4.51,160900,797000000,0,0
HOSE,HQC,2022-11-22,2.19,0.14,0.0683,2.05,2.18,2.19,2.1,12625100,27497000000,0,0
HOSE,JVC,2022-11-22,3.13,0.2,0.0683,2.93,3.09,3.13,2.94,1307400,4075000000,0,0
HOSE,VAF,2022-11-22,9.9,0.63,0.068,9.27,8.66,9.91,8.66,300,2000000,0,0
HOSE,SJF,2022-11-22,3.3,0.21,0.068,3.09,3.3,3.3,3.25,1088600,3586000000,0,0
HOSE,VSI,2022-11-22,14.95,0.95,0.0679,14.0,14.95,14.95,13.6,300,4000000,0,0
HOSE,TSC,2022-11-22,3.47,0.22,0.0677,3.25,3.32,3.47,3.25,1743600,5989000000,0,0
HOSE,TDP,2022-11-22,30.0,1.9,0.0676,28.1,28.0,30.0,28.0,63400,1836000000,0,0
HOSE,SCD,2022-11-22,15.0,0.95,0.0676,14.05,15.0,15.0,15.0,5100,76000000,0,0
HOSE,TNT,2022-11-22,3.32,0.21,0.0675,3.11,3.12,3.32,3.12,683700,2265000000,0,0
HOSE,LGL,2022-11-22,2.69,0.17,0.0675,2.52,2.64,2.69,2.6,126300,337000000,0,0
HOSE,HHS,2022-11-22,3.65,0.23,0.0673,3.42,3.6,3.65,3.55,4066200,14796000000,0,0
HOSE,DAH,2022-11-22,3.65,0.23,0.0673,3.42,3.65,3.65,3.5,276400,1005000000,0,0
HOSE,APG,2022-11-22,3.5,0.22,0.06709999999999999,3.28,3.5,3.5,3.5,875000,3062000000,0,0
HOSE,HID,2022-11-22,2.73,0.17,0.0664,2.56,2.67,2.73,2.56,424500,1151000000,0,0
HOSE,TCD,2022-11-22,5.31,0.33,0.0663,4.98,5.32,5.32,5.21,1674000,8900000000,35000,162400000
HOSE,NAV,2022-11-22,20.95,1.3,0.0662,19.65,20.95,20.95,20.95,100,2000000,0,0
HOSE,BMC,2022-11-22,11.55,0.7,0.0645,10.85,11.05,11.6,11.0,55500,630000000,0,0
HOSE,PVD,2022-11-22,14.2,0.85,0.0637,13.35,13.45,14.25,13.2,11845100,167815000000,0,0
HOSE,AAT,2022-11-22,5.2,0.3,0.061200000000000004,4.9,4.8,5.24,4.77,2845000,14242000000,0,0
HOSE,VFG,2022-11-22,40.0,2.25,0.0596,37.75,35.35,40.0,35.2,5300,200000000,0,0
HOSE,GSP,2022-11-22,8.3,0.45,0.057300000000000004,7.85,8.1,8.39,8.01,58000,483000000,0,0
HOSE,HAR,2022-11-22,3.45,0.18,0.055,3.27,3.27,3.49,3.27,525400,1813000000,0,0
HOSE,NHA,2022-11-22,10.6,0.55,0.0547,10.05,10.7,10.75,10.1,419100,4473000000,0,0
HOSE,PHC,2022-11-22,5.8,0.3,0.0545,5.5,5.6,5.8,5.5,160400,907000000,0,0
HOSE,ASP,2022-11-22,6.11,0.31,0.053399999999999996,5.8,5.95,6.12,5.81,65000,393000000,0,0
HOSE,KMR,2022-11-22,2.77,0.14,0.053200000000000004,2.63,2.72,2.8,2.63,96800,263000000,0,0
HOSE,TGG,2022-11-22,2.79,0.14,0.0528,2.65,2.58,2.83,2.58,1268200,3569000000,0,0
HOSE,VIP,2022-11-22,7.06,0.35,0.052199999999999996,6.71,6.72,7.12,6.72,298000,2097000000,0,0
HOSE,BKG,2022-11-22,3.88,0.19,0.051500000000000004,3.69,3.7,3.92,3.7,61900,238000000,0,0
HOSE,BAF,2022-11-22,17.45,0.85,0.0512,16.6,16.25,17.75,15.9,2536400,43528000000,0,0
HOSE,EMC,2022-11-22,11.45,0.55,0.050499999999999996,10.9,11.45,11.45,11.45,100,1000000,0,0
HOSE,KHG,2022-11-22,4.79,0.23,0.0504,4.56,4.51,4.87,4.51,4587700,21850000000,0,0
HOSE,SFG,2022-11-22,8.4,0.4,0.05,8.0,8.0,8.48,8.0,13500,109000000,0,0
HOSE,TCT,2022-11-22,32.0,1.5,0.0492,30.5,30.0,32.6,29.0,10300,312000000,0,0
HOSE,EVG,2022-11-22,4.14,0.19,0.0481,3.95,4.2,4.22,3.8,1784400,7179000000,1327845,4886469600
HOSE,BMI,2022-11-22,19.7,0.9,0.0479,18.8,19.1,19.9,19.1,417300,8140000000,0,0
HOSE,VID,2022-11-22,6.37,0.29,0.04769999999999999,6.08,5.68,6.4,5.68,1900,11000000,0,0
HOSE,VTO,2022-11-22,7.0,0.31,0.0463,6.69,6.69,7.15,6.66,206300,1458000000,0,0
HOSE,PLP,2022-11-22,4.37,0.19,0.0455,4.18,4.1,4.47,4.1,229900,1012000000,0,0
HOSE,VPH,2022-11-22,4.39,0.19,0.0452,4.2,4.12,4.49,4.1,541100,2384000000,0,0
HOSE,VSC,2022-11-22,32.9,1.4,0.0444,31.5,31.6,32.9,31.05,512600,16572000000,0,0
HOSE,PVT,2022-11-22,16.8,0.7,0.0435,16.1,15.95,17.2,15.95,1874800,31641000000,0,0
HOSE,BWE,2022-11-22,40.0,1.6,0.0417,38.4,38.95,40.0,38.4,155000,6080000000,0,0
